Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_3.started,text_3.stopped,sound_1.started,sound_1.stopped,Checkerboard.started,Checkerboard.stopped,Checkerboard2.started,Checkerboard2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,5.958409399987431,None,space,0.5553597999969497,5.958409399987431,None,,,,,,,,,,,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,0,0,0,0,,,,,,,6.543456899991725,None,21.54299909999827,None,22.04260426000983,None,22.64260910000303,23.242612000001827,23.225868599984096,None,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,23.826168600004166,24.425620299996808,24.40907170000719,23.826168600004166,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,25.008974199998192,25.609219699981622,25.592396799998824,25.008974199998192,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,26.192337599990424,26.792238399997586,26.775567500008037,26.192337599990424,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,27.375582599983318,27.975502899993444,27.958739900001092,27.375582599983318,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,28.558743000001414,29.158985099988058,29.14199259999441,28.558743000001414,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,29.742247099988163,30.34225499999593,30.325471899996046,29.742247099988163,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,30.925623599992832,31.525393099989742,31.508716399985133,30.925623599992832,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,32.108709099993575,32.70876390000922,32.692355599981965,32.108709099993575,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,33.291895100002876,33.89181939998525,33.875466600002255,33.291895100002876,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1011,Checkerboard,2021.2.0,59.773077489905134,
